Episode,Score,MaxTile,Steps,Time
869,656,64,90,1.85
870,268,32,51,1.12
871,676,64,94,2.02
872,556,64,74,1.50
873,716,64,92,1.89
874,1064,128,111,2.40
875,1120,64,123,2.51
876,740,64,98,1.97
877,476,32,75,1.51
878,536,64,74,1.66
879,1120,128,123,2.48
880,1648,128,168,3.56
881,2456,256,210,4.30
882,412,32,69,1.48
883,976,64,117,2.59
884,1004,64,120,2.38
885,712,64,95,1.94
886,1380,128,140,2.96
887,1340,128,135,2.67
888,996,64,119,2.50
889,1564,128,163,3.48
890,1584,128,157,3.33
891,552,64,76,1.66
892,1480,128,155,3.15
893,1468,128,153,3.15
894,592,64,80,1.65
895,1620,128,165,3.43
896,1916,128,188,3.89
897,1572,128,159,3.30
898,1232,128,127,2.62
899,672,64,90,1.92
900,1160,128,123,2.52
901,2612,256,221,4.83
902,1008,64,120,2.50
903,880,64,109,2.33
904,1092,128,112,2.33
905,1216,128,127,2.67
906,292,32,53,1.20
907,1284,128,132,2.84
908,1536,128,164,3.41
909,700,64,92,1.97
910,1376,128,144,2.89
911,744,64,99,1.99
912,680,64,91,2.01
913,612,64,82,1.72
914,1516,128,156,3.32
915,904,64,112,2.41
916,1224,128,133,2.83
917,1284,128,134,2.92
918,696,64,92,2.02
919,708,64,93,1.88
920,1096,128,123,2.50
921,1304,128,139,2.96
922,780,64,100,2.10
923,1228,128,128,2.72
924,1388,128,148,3.07
925,704,64,94,1.92
926,612,64,84,1.78
927,1464,128,157,3.33
928,508,64,68,1.44
929,544,64,76,1.56
930,1312,128,134,2.90
931,756,64,101,2.12
932,612,64,82,1.74
933,1224,128,132,2.79
934,1488,128,150,3.01
935,1488,128,147,3.17
936,1412,128,150,3.18
937,1604,128,158,3.30
938,676,64,94,2.01
939,632,64,87,1.72
940,1256,128,136,2.83
941,1036,128,109,2.45
942,748,64,100,2.07
943,996,64,118,2.47
944,920,64,114,2.46
945,668,64,90,1.87
946,2000,256,163,3.35
947,904,64,105,2.19
948,1620,128,167,3.39
949,1360,128,145,3.08
950,1032,64,123,2.55
951,1396,128,143,3.01
